pair,trades,wins,losses,total_pnl,win_rate,avg_r
EUR_USD_daily,1219,985,234,927.5,80.8039376538146,0.7608695652173914
GBP_USD_daily,1343,1052,291,890.0,78.33209233060313,0.6626954579300074
AUD_USD_daily,1203,928,275,791.0,77.1404821280133,0.657522859517872
USD_CAD_daily,1350,1079,271,955.0526315789471,79.92592592592592,0.707446393762183
USD_JPY_daily,1238,965,273,845.2079646017698,77.94830371567045,0.6827204883697656
AAPL_daily,10,8,2,8.0,80.0,0.8
MSFT_daily,19,17,2,20.5,89.47368421052632,1.0789473684210527
GOOGL_daily,6,4,2,4.0,66.66666666666666,0.6666666666666666
AMZN_daily,20,13,7,11.5,65.0,0.575
NVDA_daily,27,18,9,14.0,66.66666666666666,0.5185185185185185
GC_F_daily,251,163,88,115.5,64.9402390438247,0.4601593625498008
CL_F_daily,334,254,80,212.0,76.04790419161677,0.6347305389221557
NG_F_daily,302,227,75,189.5,75.16556291390728,0.6274834437086093
HG_F_daily,236,132,104,67.0,55.932203389830505,0.2838983050847458
SI_F_daily,254,190,64,189.0,74.80314960629921,0.7440944881889764
